Marital_status;Previous_qualification_grade;academic_performance;attendance_rate;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Status;1st_sem_grade;2nd_sem_grade
1;140.0;12.583.333.333.333.300;Full;No;Yes;Female;No;18;0;Enrolled;11.666.666.666.666.600;13.5
1;122.0;0.0;Full;No;Yes;Female;Yes;21;0;Graduate;0.0;0.0
1;127.0;1.143.125;Full;No;Yes;Female;No;20;0;Enrolled;114.375;11.425
1;142.0;12.857.142.857.142.800;Full;No;Yes;Female;No;18;0;Graduate;12.857.142.857.142.800;12.857.142.857.142.800
1;125.0;12.830.357.142.857.100;Full;No;Yes;Female;Yes;19;0;Graduate;13.375;12.285.714.285.714.200
1;126.0;1.370.547.619.047.610;Full;No;Yes;Female;No;19;0;Graduate;13.296.666.666.666.600;14.114.285.714.285.700
1;151.0;11.3;Full;Yes;Yes;Female;Yes;18;0;Enrolled;11.6;11.0
1;115.0;12.330.357.142.857.100;Full;No;Yes;Female;No;21;0;Graduate;11.375;13.285.714.285.714.200
1;138.0;12.833.333.333.333.300;Full;No;Yes;Female;No;18;0;Enrolled;12.666.666.666.666.600;13.0
1;135.0;12.166.666.666.666.600;Full;No;Yes;Female;No;20;0;Graduate;12.0;12.333.333.333.333.300
1;127.0;13.325;Full;No;Yes;Male;No;19;0;Enrolled;12.933.333.333.333.300;13.716.666.666.666.600
1;150.0;11.214.285.714.285.700;Full;No;Yes;Male;No;21;0;Enrolled;11.857.142.857.142.800;10.571.428.571.428.500
1;125.0;13.116.666.666.666.600;Full;No;Yes;Male;No;20;0;Graduate;12.833.333.333.333.300;13.4
1;143.0;12.416.666.666.666.600;Full;No;No;Male;No;18;0;Enrolled;11.333.333.333.333.300;13.5
1;138.0;13.520.833.333.333.300;Partial;No;Yes;Female;No;19;0;Graduate;12.666.666.666.666.600;14.375
1;130.0;12.914.285.714.285.700;Partial;No;Yes;Male;No;34;0;Graduate;12.4;13.428.571.428.571.400
1;130.0;5.0;Full;Yes;No;Male;No;37;0;Dropout;0.0;10.0
1;133.1;0.0;Full;No;Yes;Male;No;43;0;Dropout;0.0;0.0
1;140.0;11.0;Full;No;Yes;Female;No;55;0;Dropout;10.0;12.0
4;120.0;11.3;Partial;No;Yes;Female;No;39;0;Graduate;11.0;11.6
1;120.0;11.833.333.333.333.300;Full;Yes;No;Female;No;20;1;Dropout;11.666.666.666.666.600;12.0
1;126.0;6.375;Full;Yes;Yes;Female;No;18;0;Dropout;12.75;0.0
1;133.0;15.3;Full;No;Yes;Female;No;22;0;Graduate;14.8;15.8
1;103.0;14.135.428.571.428.500;Full;No;Yes;Female;No;22;0;Graduate;13.928;14.342.857.142.857.100
1;120.0;13.4;Full;No;No;Female;No;20;0;Dropout;13.0;13.8
1;133.1;0.0;Partial;No;Yes;Female;No;29;0;Dropout;0.0;0.0
1;154.0;12.916.666.666.666.600;Partial;No;Yes;Female;No;24;0;Enrolled;11.5;14.333.333.333.333.300
1;130.0;12.433.333.333.333.300;Full;No;Yes;Female;No;18;0;Graduate;11.666.666.666.666.600;13.2
1;132.0;13.644.047.619.047.600;Full;No;Yes;Female;Yes;22;0;Graduate;13.516.666.666.666.600;13.771.428.571.428.500
1;130.0;12.392.857.142.857.100;Partial;No;Yes;Female;Yes;21;0;Graduate;11.5;13.285.714.285.714.200
1;139.0;12.583.333.333.333.300;Full;No;Yes;Female;Yes;19;0;Graduate;12.333.333.333.333.300;12.833.333.333.333.300
1;130.0;13.916.666.666.666.600;Full;No;Yes;Female;Yes;24;0;Graduate;13.666.666.666.666.600;14.166.666.666.666.600
1;139.0;11.833.333.333.333.300;Full;No;Yes;Female;Yes;19;0;Enrolled;11.833.333.333.333.300;11.833.333.333.333.300
1;127.0;12.5;Full;No;Yes;Female;Yes;20;0;Enrolled;14.0;11.0
1;167.0;15.257.142.857.142.800;Full;No;Yes;Female;No;19;0;Graduate;14.714.285.714.285.700;15.8
1;130.0;10.8;Partial;No;Yes;Female;No;27;0;Dropout;10.6;11.0
1;130.0;13.319.722.222.222.200;Full;No;Yes;Female;No;18;0;Graduate;13.044.444.444.444.400;13.595
2;130.0;0.0;Full;No;Yes;Female;No;39;0;Dropout;0.0;0.0
1;129.0;12.95;Full;No;Yes;Female;No;27;0;Dropout;13.0;12.9
1;141.0;14.935;Full;No;Yes;Female;No;18;0;Graduate;14.935;14.935
1;125.0;0.0;Full;No;Yes;Female;No;18;0;Enrolled;0.0;0.0
1;125.0;12.677.380.952.380.900;Full;No;Yes;Female;No;18;0;Graduate;13.133.333.333.333.300;12.221.428.571.428.500
1;130.0;12.0;Full;No;Yes;Female;Yes;21;0;Graduate;12.0;12.0
1;133.0;0.0;Full;No;Yes;Male;Yes;19;0;Enrolled;0.0;0.0
1;127.0;10.7;Full;No;Yes;Male;No;19;0;Enrolled;11.4;10.0
1;116.0;0.0;Full;No;Yes;Male;No;24;0;Enrolled;0.0;0.0
4;133.1;11.45;Full;No;Yes;Male;No;29;0;Dropout;11.9;11.0
1;139.0;0.0;Full;No;Yes;Male;Yes;19;0;Graduate;0.0;0.0
1;130.0;12.5;Full;No;Yes;Male;No;23;0;Graduate;12.571.428.571.428.500;12.428.571.428.571.400
1;125.0;10.975;Full;Yes;Yes;Male;No;19;0;Dropout;11.2;10.75
1;160.0;11.4;Full;No;Yes;Male;No;26;0;Enrolled;12.0;10.8
1;148.0;0.0;Full;No;Yes;Male;No;18;0;Enrolled;0.0;0.0
1;150.0;128.625;Full;No;Yes;Male;No;24;0;Graduate;11.975;13.75
1;141.0;0.0;Full;No;Yes;Male;No;19;0;Dropout;0.0;0.0
1;118.0;11.833.333.333.333.300;Full;No;Yes;Male;No;18;0;Dropout;11.666.666.666.666.600;12.0
1;142.0;12.333.333.333.333.300;Full;No;Yes;Male;No;18;0;Graduate;12.333.333.333.333.300;12.333.333.333.333.300
1;120.0;10.595.238.095.238.000;Full;Yes;Yes;Male;No;18;0;Dropout;10.333.333.333.333.300;10.857.142.857.142.800
1;106.0;10.75;Full;No;Yes;Male;Yes;21;0;Dropout;10.5;11.0
1;121.0;13.5;Full;Yes;Yes;Male;Yes;19;0;Graduate;13.666.666.666.666.600;13.333.333.333.333.300
1;150.0;1.494.920.634.920.630;Full;No;Yes;Male;Yes;22;0;Graduate;14.842.857.142.857.100;15.055.555.555.555.500
2;120.0;11.833.333.333.333.300;Partial;No;Yes;Male;No;33;0;Graduate;12.0;11.666.666.666.666.600
1;114.0;12.2;Full;No;Yes;Male;No;20;0;Dropout;12.2;12.2
1;140.0;0.0;Partial;No;Yes;Male;No;35;0;Dropout;0.0;0.0
1;160.0;12.733.333.333.333.300;Full;Yes;Yes;Male;No;24;0;Dropout;12.166.666.666.666.600;13.3
1;120.0;11.666.666.666.666.600;Full;No;Yes;Male;No;18;0;Enrolled;12.0;11.333.333.333.333.300
2;130.0;11.0;Partial;No;Yes;Female;No;33;0;Graduate;11.0;11.0
1;160.0;13.08;Full;No;Yes;Female;Yes;22;0;Graduate;13.08;13.08
1;120.0;11.05;Full;No;Yes;Female;Yes;25;0;Graduate;10.5;11.6
1;124.0;10.933.333.333.333.300;Full;No;Yes;Male;No;20;0;Graduate;10.666.666.666.666.600;11.2
1;143.0;13.9;Full;No;Yes;Male;No;23;0;Enrolled;14.0;13.8
1;115.0;5.0;Full;Yes;Yes;Male;No;18;0;Enrolled;10.0;0.0
1;133.1;0.0;Full;No;Yes;Male;No;24;0;Dropout;0.0;0.0
1;133.1;13.75;Full;No;No;Female;No;21;1;Graduate;14.0;13.5
1;133.1;6.0;Full;No;Yes;Female;No;26;1;Dropout;12.0;0.0
2;133.1;6.333.333.333.333.330;Full;No;Yes;Female;No;39;0;Dropout;12.666.666.666.666.600;0.0
2;133.1;12.104.166.666.666.600;Partial;No;Yes;Female;No;44;0;Graduate;11.875;12.333.333.333.333.300
1;130.0;13.625;Full;No;Yes;Male;No;19;1;Enrolled;14.0;13.25
1;135.0;13.5;Full;No;Yes;Female;No;18;0;Graduate;13.666.666.666.666.600;13.333.333.333.333.300
1;132.0;1.411.388.888.888.880;Full;No;Yes;Female;Yes;18;0;Graduate;13.75;1.447.777.777.777.770
1;135.0;14.0;Full;No;Yes;Female;No;19;0;Enrolled;14.2;13.8
1;115.0;5.98;Full;Yes;No;Female;No;19;0;Dropout;11.96;0.0
1;130.0;131.375;Full;No;Yes;Female;No;21;0;Dropout;12.875;13.4
1;133.1;0.0;Full;No;Yes;Female;No;20;0;Graduate;0.0;0.0
2;130.0;0.0;Partial;No;Yes;Female;No;36;0;Dropout;0.0;0.0
4;133.1;14.431.174.089.068.800;Full;No;Yes;Female;No;43;0;Graduate;1.463.157.894.736.840;1.423.076.923.076.920
1;123.0;0.0;Full;No;Yes;Female;No;19;0;Dropout;0.0;0.0
1;130.0;12.636.363.636.363.600;Full;Yes;Yes;Female;No;20;0;Graduate;13.0;12.272.727.272.727.200
1;122.0;0.0;Full;No;Yes;Female;No;19;0;Dropout;0.0;0.0
1;113.0;13.725;Full;No;Yes;Female;No;20;0;Dropout;14.2;13.25
1;111.0;12.783.333.333.333.300;Full;No;Yes;Female;No;20;0;Dropout;13.266.666.666.666.600;12.3
1;133.1;12.333.333.333.333.300;Full;No;Yes;Female;No;20;0;Enrolled;11.666.666.666.666.600;13.0
1;142.0;14.428.571.428.571.400;Full;No;Yes;Female;No;18;0;Graduate;13.857.142.857.142.800;15.0
1;123.0;12.0;Full;No;Yes;Female;Yes;18;0;Enrolled;13.0;11.0
1;131.0;13.100.000.000.000.000;Full;No;Yes;Female;No;19;0;Graduate;13.4;12.8
1;158.0;12.619.047.619.047.600;Full;No;Yes;Female;No;18;0;Graduate;12.666.666.666.666.600;12.571.428.571.428.500
1;122.0;12.516.666.666.666.600;Full;No;Yes;Female;No;18;0;Dropout;12.516.666.666.666.600;12.516.666.666.666.600
1;130.0;12.308.333.333.333.300;Full;No;Yes;Female;No;20;0;Enrolled;11.616.666.666.666.600;13.0
1;154.0;10.375;Full;No;Yes;Female;Yes;20;0;Enrolled;10.0;10.75
1;120.0;10.5;Full;No;Yes;Female;No;20;0;Enrolled;10.333.333.333.333.300;10.666.666.666.666.600
1;140.0;12.271.428.571.428.500;Full;No;Yes;Female;No;18;0;Graduate;13.142.857.142.857.100;11.4
1;127.0;13.3;Full;No;Yes;Female;No;18;0;Graduate;12.6;14.0
1;133.1;11.0;Full;No;Yes;Female;No;21;0;Dropout;11.0;11.0
1;120.0;11.025;Full;No;Yes;Female;No;19;0;Graduate;10.8;11.25
1;137.0;0.0;Full;No;Yes;Female;No;19;0;Dropout;0.0;0.0
1;131.0;13.5;Full;No;Yes;Female;Yes;19;0;Graduate;12.8;14.2
1;130.0;13.183.333.333.333.300;Full;No;Yes;Female;No;19;0;Graduate;14.166.666.666.666.600;12.2
1;122.0;6.05;Full;No;Yes;Female;No;19;0;Dropout;12.1;0.0
1;160.0;13.972.222.222.222.200;Full;No;Yes;Female;No;20;0;Graduate;14.166.666.666.666.600;1.377.777.777.777.770
1;146.0;13.100.000.000.000.000;Full;No;Yes;Female;Yes;18;0;Enrolled;12.8;13.4
1;131.0;13.333.333.333.333.300;Full;No;Yes;Female;No;18;0;Graduate;13.0;13.666.666.666.666.600
1;132.0;14.239.126.984.126.900;Full;No;Yes;Female;No;19;0;Graduate;13.467.142.857.142.800;15.011.111.111.111.100
1;138.0;13.490.178.571.428.500;Full;No;Yes;Female;Yes;18;0;Dropout;132.375;13.742.857.142.857.100
1;130.0;12.666.666.666.666.600;Full;No;Yes;Female;No;18;0;Graduate;12.333.333.333.333.300;13.0
1;126.0;13.5;Full;No;Yes;Female;No;19;0;Graduate;12.4;14.6
1;148.0;7.0;Full;No;Yes;Female;No;19;0;Dropout;14.0;0.0
1;130.0;1.169.047.619.047.610;Full;No;Yes;Female;No;20;0;Graduate;11.666.666.666.666.600;11.714.285.714.285.700
1;117.0;12.25;Full;Yes;No;Female;Yes;19;0;Dropout;12.0;12.5
1;120.0;11.85;Full;No;Yes;Female;No;20;0;Graduate;12.2;11.5
1;153.0;14.833.333.333.333.300;Full;Yes;Yes;Female;Yes;18;0;Graduate;14.833.333.333.333.300;14.833.333.333.333.300
1;117.0;1.304.042.857.142.850;Full;No;Yes;Female;Yes;20;0;Enrolled;13.188;12.892.857.142.857.100
1;178.0;1.735.625;Full;No;Yes;Female;No;18;0;Graduate;17.125;175.875
1;129.0;12.666.666.666.666.600;Full;No;Yes;Female;No;19;0;Graduate;12.666.666.666.666.600;12.666.666.666.666.600
1;116.0;12.333.333.333.333.300;Full;No;Yes;Female;Yes;19;0;Graduate;12.666.666.666.666.600;12.0
1;99.0;0.0;Full;Yes;No;Female;No;22;0;Enrolled;0.0;0.0
1;135.0;11.416.666.666.666.600;Full;No;Yes;Female;Yes;19;0;Graduate;11.333.333.333.333.300;11.5
1;141.0;12.968.125;Full;No;Yes;Female;Yes;19;0;Graduate;13.605;1.233.125
1;132.0;11.4;Full;No;Yes;Female;Yes;19;0;Graduate;12.0;10.8
1;132.0;0.0;Full;No;Yes;Female;No;19;0;Dropout;0.0;0.0
1;113.0;11.433.333.333.333.300;Full;No;Yes;Female;No;20;0;Dropout;11.2;11.666.666.666.666.600
1;134.0;13.770.833.333.333.300;Full;No;Yes;Female;No;18;0;Graduate;13.375;14.166.666.666.666.600
1;136.0;14.020.952.380.952.300;Full;No;Yes;Female;Yes;20;0;Graduate;13.863.333.333.333.300;14.178.571.428.571.400
1;136.0;0.0;Full;No;Yes;Female;No;18;0;Enrolled;0.0;0.0
1;129.0;12.9;Full;No;Yes;Female;No;19;0;Graduate;12.4;13.4
1;138.0;11.583.333.333.333.300;Full;No;Yes;Female;No;18;0;Enrolled;12.333.333.333.333.300;10.833.333.333.333.300
1;137.0;12.566.666.666.666.600;Full;No;Yes;Female;No;18;0;Graduate;13.333.333.333.333.300;11.8
1;115.0;11.333.333.333.333.300;Full;No;Yes;Female;No;21;0;Dropout;12.666.666.666.666.600;10.0
1;129.0;11.75;Full;No;Yes;Female;No;19;0;Dropout;12.0;11.5
1;131.0;11.2;Full;No;Yes;Female;Yes;18;0;Graduate;10.6;11.8
1;133.0;12.053.571.428.571.400;Full;No;Yes;Female;Yes;18;0;Graduate;12.25;11.857.142.857.142.800
1;125.0;11.416.666.666.666.600;Full;No;Yes;Female;No;20;0;Graduate;11.0;11.833.333.333.333.300
1;120.0;11.8;Partial;No;Yes;Female;Yes;24;0;Graduate;11.0;12.6
1;128.0;13.083.333.333.333.300;Full;No;Yes;Female;No;19;0;Dropout;13.166.666.666.666.600;13.0
1;127.0;12.808.333.333.333.300;Full;No;Yes;Female;Yes;18;0;Graduate;12.855.555.555.555.500;12.761.111.111.111.100
1;134.0;15.136.875;Full;No;Yes;Female;No;18;0;Graduate;1.491.875;15.355
1;132.0;11.25;Full;No;Yes;Female;No;21;0;Dropout;11.5;11.0
1;124.0;14.2;Full;No;Yes;Female;No;19;0;Graduate;14.2;14.2
1;133.1;12.75;Full;No;Yes;Female;Yes;19;0;Graduate;12.5;13.0
3;170.0;0.0;Full;Yes;Yes;Female;No;47;0;Enrolled;0.0;0.0
1;125.0;11.333.333.333.333.300;Full;No;Yes;Female;No;19;0;Graduate;11.666.666.666.666.600;11.0
1;130.0;14.257.142.857.142.800;Full;No;Yes;Female;No;29;0;Graduate;14.257.142.857.142.800;14.257.142.857.142.800
1;125.0;11.666.666.666.666.600;Full;No;Yes;Female;No;21;0;Dropout;12.0;11.333.333.333.333.300
1;130.0;10.875;Full;No;Yes;Female;No;28;0;Enrolled;11.25;10.5
1;133.1;13.009.821.428.571.400;Full;No;Yes;Female;No;20;0;Graduate;12.457.142.857.142.800;135.625
1;131.0;11.683.333.333.333.300;Full;No;Yes;Female;No;19;0;Graduate;11.683.333.333.333.300;11.683.333.333.333.300
1;150.0;11.833.333.333.333.300;Partial;No;Yes;Female;No;26;0;Graduate;11.666.666.666.666.600;12.0
1;125.0;12.458.333.333.333.300;Full;Yes;No;Female;No;20;0;Dropout;11.75;13.166.666.666.666.600
1;131.0;12.583.333.333.333.300;Full;No;Yes;Female;Yes;18;0;Enrolled;11.666.666.666.666.600;13.5
1;130.0;12.6;Full;No;Yes;Female;No;27;0;Graduate;13.2;12.0
1;123.0;11.95;Full;No;Yes;Female;No;20;0;Dropout;11.95;11.95
1;141.0;11.4;Full;No;Yes;Female;No;18;0;Dropout;12.4;10.4
1;140.0;14.466.666.666.666.600;Full;No;Yes;Female;No;33;0;Dropout;14.35;14.583.333.333.333.300
1;140.0;12.704.260.651.629.000;Full;No;Yes;Female;No;35;0;Graduate;1.261.904.761.904.760;12.789.473.684.210.500
1;140.0;12.916.666.666.666.600;Partial;No;Yes;Female;Yes;26;0;Enrolled;12.666.666.666.666.600;13.166.666.666.666.600
1;133.1;6.0;Full;Yes;No;Female;No;27;0;Dropout;12.0;0.0
1;131.0;6.083.333.333.333.330;Full;No;No;Female;No;19;0;Dropout;12.166.666.666.666.600;0.0
1;143.0;0.0;Full;No;Yes;Female;No;20;0;Dropout;0.0;0.0
1;132.0;10.285.714.285.714.200;Full;Yes;No;Female;No;20;0;Dropout;10.0;10.571.428.571.428.500
1;143.0;10.75;Full;Yes;No;Female;No;21;0;Enrolled;11.5;10.0
1;141.0;13.05;Full;No;Yes;Female;Yes;18;0;Graduate;13.05;13.05
1;133.1;5.5;Full;No;Yes;Female;No;24;0;Dropout;11.0;0.0
1;148.0;11.75;Full;No;Yes;Female;No;20;0;Graduate;11.5;12.0
1;125.0;12.25;Full;No;Yes;Female;Yes;21;0;Graduate;12.0;12.5
1;120.0;10.0;Partial;No;Yes;Female;No;23;0;Enrolled;10.0;10.0
1;140.0;0.0;Full;No;Yes;Female;No;24;0;Dropout;0.0;0.0
1;139.0;0.0;Full;No;Yes;Female;No;21;0;Dropout;0.0;0.0
1;142.0;12.242.857.142.857.100;Full;No;Yes;Female;No;18;0;Graduate;12.242.857.142.857.100;12.242.857.142.857.100
1;130.0;0.0;Partial;No;Yes;Female;No;27;0;Dropout;0.0;0.0
1;126.0;1.293.375;Full;No;Yes;Female;No;18;0;Graduate;1.293.375;1.293.375
1;150.0;0.0;Full;No;Yes;Female;No;35;0;Dropout;0.0;0.0
1;130.0;13.5;Full;No;Yes;Female;No;18;0;Graduate;12.571.428.571.428.500;14.428.571.428.571.400
1;120.0;11.575.000.000.000.000;Full;No;Yes;Female;No;35;0;Enrolled;11.816.666.666.666.600;11.333.333.333.333.300
1;138.0;14.041.666.666.666.600;Full;No;Yes;Female;No;19;0;Graduate;13.75;14.333.333.333.333.300
1;127.0;11.25;Full;No;Yes;Female;No;20;0;Graduate;11.166.666.666.666.600;11.333.333.333.333.300
1;140.0;12.324.285.714.285.700;Full;No;Yes;Female;No;18;0;Graduate;12.324.285.714.285.700;12.324.285.714.285.700
1;130.0;1.194.047.619.047.610;Full;Yes;Yes;Female;No;21;0;Graduate;12.166.666.666.666.600;11.714.285.714.285.700
1;128.0;11.196.428.571.428.500;Full;No;Yes;Female;Yes;18;0;Graduate;11.142.857.142.857.100;11.25
1;132.0;10.875;Full;No;Yes;Female;No;18;0;Graduate;11.0;10.75
1;149.0;12.914.285.714.285.700;Full;No;Yes;Female;No;18;0;Graduate;12.914.285.714.285.700;12.914.285.714.285.700
1;155.0;14.0;Full;No;Yes;Female;Yes;18;0;Graduate;13.833.333.333.333.300;14.166.666.666.666.600
1;120.0;1.362.857.142.857.140;Full;No;Yes;Female;No;19;0;Graduate;13.857.142.857.142.800;13.4
1;133.1;13.257.142.857.142.800;Full;No;Yes;Female;Yes;36;0;Dropout;13.714.285.714.285.700;12.8
1;131.0;12.642.857.142.857.100;Full;No;Yes;Female;Yes;18;0;Graduate;12.642.857.142.857.100;12.642.857.142.857.100
1;149.0;12.916.666.666.666.600;Full;No;Yes;Female;Yes;18;0;Graduate;12.916.666.666.666.600;12.916.666.666.666.600
1;140.0;15.741.071.428.571.400;Full;No;Yes;Female;Yes;20;0;Graduate;15.625;15.857.142.857.142.800
1;133.1;0.0;Partial;No;Yes;Female;Yes;26;0;Dropout;0.0;0.0
1;122.0;11.857.142.857.142.800;Full;No;Yes;Female;No;21;0;Graduate;11.714.285.714.285.700;12.0
1;130.0;1.271.875;Full;No;Yes;Female;No;25;0;Enrolled;12.125;133.125
1;121.0;11.6;Full;No;Yes;Female;Yes;19;0;Graduate;11.6;11.6
1;120.0;5.0;Partial;No;Yes;Female;No;24;0;Dropout;10.0;0.0
1;133.1;5.0;Partial;No;Yes;Female;Yes;27;0;Dropout;10.0;0.0
1;121.0;6.75;Full;No;Yes;Female;No;21;0;Dropout;0.0;13.5
1;133.0;12.666.666.666.666.600;Full;No;Yes;Female;Yes;18;0;Graduate;13.0;12.333.333.333.333.300
2;134.0;13.916.666.666.666.600;Full;No;Yes;Female;Yes;19;0;Graduate;13.333.333.333.333.300;14.5
1;115.0;11.875;Full;No;Yes;Female;No;18;0;Dropout;11.25;12.5
1;127.0;13.021.428.571.428.500;Full;No;Yes;Female;Yes;19;0;Graduate;13.85;1.219.285.714.285.710
1;135.0;14.327.083.333.333.300;Full;No;Yes;Female;Yes;19;0;Graduate;13.741.666.666.666.600;149.125
2;140.0;15.566.666.666.666.600;Partial;No;Yes;Female;No;33;0;Graduate;15.333.333.333.333.300;15.8
2;130.0;12.4;Full;No;Yes;Female;No;45;0;Graduate;11.0;13.8
1;135.0;12.428.571.428.571.400;Full;No;Yes;Female;Yes;20;0;Graduate;12.0;12.857.142.857.142.800
1;140.0;0.0;Full;No;Yes;Female;No;28;0;Dropout;0.0;0.0
1;120.0;11.571.428.571.428.500;Full;No;Yes;Female;Yes;19;0;Graduate;11.571.428.571.428.500;11.571.428.571.428.500
1;140.0;12.761.904.761.904.700;Full;No;Yes;Female;No;18;0;Graduate;12.857.142.857.142.800;12.666.666.666.666.600
1;133.1;0.0;Full;No;Yes;Female;No;38;0;Dropout;0.0;0.0
1;135.0;13.1;Full;No;Yes;Female;No;19;0;Graduate;13.0;13.2
1;123.0;11.5;Full;No;Yes;Female;Yes;21;0;Graduate;11.0;12.0
1;133.1;13.5;Full;No;Yes;Female;No;21;0;Dropout;12.0;15.0
1;154.0;12.8;Full;No;Yes;Female;Yes;22;0;Graduate;12.6;13.0
1;148.0;13.283.333.333.333.300;Full;No;Yes;Female;Yes;18;0;Graduate;13.4;13.166.666.666.666.600
1;133.0;11.452.380.952.380.900;Full;No;Yes;Female;Yes;18;0;Graduate;11.333.333.333.333.300;11.571.428.571.428.500
1;126.0;13.875;Full;No;No;Female;No;25;0;Dropout;13.5;14.25
1;133.1;11.041.666.666.666.600;Full;Yes;No;Female;No;24;0;Dropout;11.75;10.333.333.333.333.300
1;125.0;11.966.964.285.714.200;Full;No;Yes;Female;No;19;0;Enrolled;12.471.428.571.428.500;114.625
1;145.0;13.232.323.232.323.200;Full;No;Yes;Female;No;24;0;Enrolled;12.909.090.909.090.900;13.555.555.555.555.500
1;118.0;12.6;Full;No;Yes;Female;Yes;20;0;Graduate;11.6;13.6
1;120.0;0.0;Full;No;No;Female;No;25;0;Dropout;0.0;0.0
1;127.0;12.631.818.181.818.100;Full;No;Yes;Female;Yes;20;0;Graduate;12.9;12.363.636.363.636.300
1;130.0;13.22;Full;No;Yes;Female;No;23;0;Graduate;13.22;13.22
1;129.0;13.151.428.571.428.500;Full;No;Yes;Female;Yes;19;0;Graduate;13.151.428.571.428.500;13.151.428.571.428.500
1;130.0;12.041.666.666.666.600;Full;Yes;No;Female;No;29;0;Dropout;12.75;11.333.333.333.333.300
1;121.0;11.791.666.666.666.600;Full;No;Yes;Female;No;21;0;Graduate;11.333.333.333.333.300;12.25
1;136.0;13.696.428.571.428.500;Full;No;Yes;Female;Yes;18;0;Graduate;13.25;14.142.857.142.857.100
1;125.0;12.4;Full;No;Yes;Female;No;19;0;Enrolled;12.4;12.4
1;131.0;13.916.666.666.666.600;Full;No;Yes;Female;Yes;18;0;Dropout;15.0;12.833.333.333.333.300
1;122.0;13.7;Full;No;Yes;Female;No;19;0;Graduate;14.4;13.0
1;127.0;5.5;Full;No;Yes;Female;No;18;0;Enrolled;11.0;0.0
1;136.0;11.600.000.000.000.000;Full;No;Yes;Female;No;18;0;Graduate;12.4;10.8
2;133.1;8.0;Full;Yes;No;Female;Yes;37;0;Dropout;16.0;0.0
1;127.0;12.952.380.952.380.900;Partial;No;Yes;Female;No;29;0;Graduate;13.571.428.571.428.500;12.333.333.333.333.300
1;116.0;12.166.666.666.666.600;Full;No;Yes;Female;No;18;0;Enrolled;11.833.333.333.333.300;12.5
1;121.0;12.166.666.666.666.600;Full;No;Yes;Female;Yes;19;0;Graduate;11.666.666.666.666.600;12.666.666.666.666.600
1;124.0;12.416.666.666.666.600;Full;Yes;No;Female;No;22;0;Dropout;11.833.333.333.333.300;13.0
1;131.0;10.883.333.333.333.300;Full;No;Yes;Female;Yes;20;0;Graduate;11.166.666.666.666.600;10.6
1;100.0;0.0;Partial;No;Yes;Female;No;34;0;Dropout;0.0;0.0
1;130.0;11.958.333.333.333.300;Full;Yes;No;Female;No;30;0;Dropout;11.75;12.166.666.666.666.600
1;135.0;14.0;Full;No;Yes;Female;No;18;0;Graduate;14.0;14.0
1;130.0;12.416.666.666.666.600;Full;No;Yes;Female;No;18;0;Graduate;12.833.333.333.333.300;12.0
1;146.0;11.958.333.333.333.300;Full;No;Yes;Female;No;18;0;Graduate;12.25;11.666.666.666.666.600
1;146.0;14.828.571.428.571.400;Full;No;Yes;Female;No;18;0;Graduate;14.828.571.428.571.400;14.828.571.428.571.400
1;154.0;12.100.000.000.000.000;Full;No;Yes;Female;Yes;19;0;Graduate;11.4;12.8
